common_name;scientific_name;start_time;end_time;confidence;label;filepath;filename;validScientificNameId;Species_NorwegianName;Family_ScientificName;Family_NorwegianName;Order_ScientificName;Order_NorwegianName;Family_ScientificNameId;Order_ScientificNameId;Species_ScientificNameId;Redlist_Status
European Pied Flycatcher;Ficedula hypoleuca;99.0;102.0;0.9256378412246704;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
European Pied Flycatcher;Ficedula hypoleuca;111.0;114.0;0.6885941624641418;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
Redwing;Turdus iliacus;129.0;132.0;0.7835286855697632;Turdus iliacus_Redwing;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4547;rødvingetrost;Turdidae;trostefamilien;Passeriformes;spurvefugler;;;4547;LC
Common Chiffchaff;Phylloscopus collybita;144.0;147.0;0.6305808424949646;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
Common Chiffchaff;Phylloscopus collybita;177.0;180.0;0.6848072409629822;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
Common Chiffchaff;Phylloscopus collybita;192.0;195.0;0.7897356748580933;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
European Pied Flycatcher;Ficedula hypoleuca;225.0;228.0;0.912283182144165;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
Common Chiffchaff;Phylloscopus collybita;228.0;231.0;0.701434850692749;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
European Pied Flycatcher;Ficedula hypoleuca;231.0;234.0;0.7127057909965515;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
European Pied Flycatcher;Ficedula hypoleuca;237.0;240.0;0.9283632040023804;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
